"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"3508","2. Donald Trump","2. Mitt Romney",32,31,"1. Muslim","4. None or 'independent'","1. Favor","3. About the same","3. Slightly liberal","5. Independent-Republican","2. A lot","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","5. Five days","2. Should be allowed to live and work in the U.S.","1. Selected","1. Selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,2,2,4
"3509","2. Donald Trump","2. Mitt Romney",0,85,"1. Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",7,7,6,2
"3510","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",100,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","1. Selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,1,1,5
"3511","2. Donald Trump","2. Mitt Romney",10,30,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","2. Almost every week","1. Yes","1. Selected","0. Not selected",6,6,5,4
"3512","2. Donald Trump","2. Mitt Romney",0,68,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,7,4,1
"3513","1. Hillary Clinton","1. Barack Obama",70,0,"2. Not a Muslim","1. Democratic party","1. Favor","3. About the same","3. Slightly liberal","2. Not very strong Democract","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","1. Selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","1. Selected","0. Not selected",5,6,99,6
"3514","2. Donald Trump","1. Barack Obama",30,60,"2. Not a Muslim","2. Republican party","1. Favor","3. About the same","4. Moderate, middle of the road","4. Independent","2. A lot","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,99,99,6
"3515","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",70,15,"-6. No post-election interview","1. Democratic party","-6. No post-election interview","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","1. Selected","0. Not selected","1. Selected","0. Not selected","4. A few times a year","2. No","0. Not selected","1. Selected",4,99,99,99
"3516","2. Donald Trump","2. Mitt Romney",7,64,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","7. Extremely conservative","7. Strong Republican","1. A great deal","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","1. Selected","0. Not selected","1. Selected","1. Selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",3,7,99,3
"3517","1. Hillary Clinton","1. Barack Obama",70,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","2. A lot","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,99,3,99
"3518","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","2. Liberal","2. Not very strong Democract","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",1,6,99,4
"3519","3. Gary Johnson","1. Barack Obama",20,40,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","3. Independent-Democrat","2. A lot","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","1. One day","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,5,2,2
"3520","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",0,85,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","4. Moderate, middle of the road","4. Independent","1. A great deal","1. Favor","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,7,4,1
"3521","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",30,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","1. Better","5. Slightly conservative","5. Independent-Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,6,4,3
"3522","2. Donald Trump","2. Mitt Romney",0,70,"2. Not a Muslim","2. Republican party","3. Neither favor nor oppose","2. Worse","5. Slightly conservative","7. Strong Republican","1. A great deal","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",4,7,3,2
"3523","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",85,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","1. Better","1. Extremely liberal","3. Independent-Democrat","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,99,6
"3524","2. Donald Trump","2. Mitt Romney",22,77,"1. Muslim","1. Democratic party","1. Favor","2. Worse","4. Moderate, middle of the road","1. Strong Democrat","2. A lot","1. Favor","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",5,4,5,5
"3525","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",15,70,"2. Not a Muslim","4. None or 'independent'","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","5. Independent-Republican","3. A moderate amount","2. Oppose","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","0. None","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",99,1,1,99
"3526","2. Donald Trump","2. Mitt Romney",2,89,"-9. Refused","4. None or 'independent'","1. Favor","2. Worse","5. Slightly conservative","5. Independent-Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,6,5,3
"3527","2. Donald Trump","2. Mitt Romney",15,50,"1. Muslim","2. Republican party","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","5. Not at all","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,4,4,4
